anime_id,Name,Score,Genres,Japanese name,Type,Episodes,Aired,Producers,Studios,Source,Duration,Rating,Ranked,Popularity,Favorites
1,Cowboy Bebop,8.78,"Action, Adventure, Comedy, Drama, Sci-Fi, Space",カウボーイビバップ,TV,26,"Apr 3, 1998 to Apr 24, 1999",Bandai Visual,Sunrise,Original,24 min. per ep.,R - 17+ (violence & profanity),28,39,61971
5,Cowboy Bebop: Tengoku no Tobira,8.39,"Action, Drama, Mystery, Sci-Fi, Space",カウボーイビバップ 天国の扉,Movie,1,1-Sep-01,"Sunrise, Bandai Visual",Bones,Original,1 hr. 55 min.,R - 17+ (violence & profanity),159,518,1174
6,Trigun,8.24,"Action, Sci-Fi, Adventure, Comedy, Drama, Shounen",トライガン,TV,26,"Apr 1, 1998 to Sep 30, 1998",Victor Entertainment,Madhouse,Manga,24 min. per ep.,PG-13 - Teens 13 or older,266,201,12944
7,Witch Hunter Robin,7.27,"Action, Mystery, Police, Supernatural, Drama, Magic",Witch Hunter ROBIN (ウイッチハンターロビン),TV,26,"Jul 2, 2002 to Dec 24, 2002","TV Tokyo, Bandai Visual, Dentsu, Victor Entertainment",Sunrise,Original,25 min. per ep.,PG-13 - Teens 13 or older,2481,1467,587
8,Bouken Ou Beet,6.98,"Adventure, Fantasy, Shounen, Supernatural",冒険王ビィト,TV,52,"Sep 30, 2004 to Sep 29, 2005","TV Tokyo, Dentsu",Toei Animation,Manga,23 min. per ep.,PG - Children,3710,4369,18
15,Eyeshield 21,7.95,"Action, Sports, Comedy, Shounen",アイシールド21,TV,145,"Apr 6, 2005 to Mar 19, 2008","TV Tokyo, Nihon Ad Systems, TV Tokyo Music, Shueisha",Gallop,Manga,23 min. per ep.,PG-13 - Teens 13 or older,604,1003,2066
16,Hachimitsu to Clover,8.06,"Comedy, Drama, Josei, Romance, Slice of Life",ハチミツとクローバー,TV,24,"Apr 15, 2005 to Sep 27, 2005","Genco, Fuji TV, Shueisha",J.C.Staff,Manga,23 min. per ep.,PG-13 - Teens 13 or older,468,687,4101
17,Hungry Heart: Wild Striker,7.59,"Slice of Life, Comedy, Sports, Shounen",ハングリーハート Wild Striker,TV,52,"Sep 11, 2002 to Sep 10, 2003",Unknown,Nippon Animation,Manga,23 min. per ep.,PG-13 - Teens 13 or older,1317,3612,231
18,Initial D Fourth Stage,8.15,"Action, Cars, Sports, Drama, Seinen",頭文字〈イニシャル〉D FOURTH STAGE,TV,24,"Apr 17, 2004 to Feb 18, 2006","OB Planning, Studio Jack",A.C.G.T.,Manga,27 min. per ep.,PG-13 - Teens 13 or older,360,1233,979
19,Monster,8.76,"Drama, Horror, Mystery, Police, Psychological, Seinen, Thriller",モンスター,TV,74,"Apr 7, 2004 to Sep 28, 2005","VAP, Shogakukan-Shueisha Productions, Nippon Television Network",Madhouse,Manga,24 min. per ep.,R+ - Mild Nudity,30,169,29436
